sample_id,timepoint,crop,ID,plot,mgmttype,depth_upper,depth_lower,doc_mgkg,gm_fraction,microbial_biomass_c_mgkg,ammonium_mgkg,nitrate_mgkg,ph,percentN,percentC,calcium_ppm,magnesium_ppm,potentially_mineralizable_c_mgkg,poxc_mgkg,protein_gkg,phosphorus_ppm,sulfur_ppm,cu_ppm,om_percent,suva,sand_percent,silt_percent,clay_percent,bulkdensity
75,TP2,T,39,6_7,LMT,60,100,13.89987676,0.186705767,47.73817176,0.11872972,0.66232135,7.7,0.000634308,0.007542794,1865,2330,3.9,195.9,989.5,3,7,6.3,2.5,0.012297432,16.0126,61.75,22.2411,1.64
76,TP2,T,40,6_8,OMT,0,15,110.8182054,0.073078736,374.5287658,3.930308349,16.45251331,7.3,0.001697492,0.01524654,2854,2101,61.5,451.4,2420.4,131,21,9,3.3,0.035371153,18.8973,62.86,18.2432,1.08
77,TP2,T,41,6_8,OMT,15,60,51.04127447,0.141554702,136.7107938,1.041210736,5.01292749,7.5,0.001096802,0.010536444,2520,2181,15.5,336.7,1496.7,47,15,7.8,2.8,0.034363579,16.115825,65.16,18.72535,1.33
78,TP2,T,42,6_8,OMT,60,100,24.96305396,0.159471813,56.54429847,0.350420102,0.799323764,7.8,0.000715898,0.007834606,2032,2316,5.5,248,985.1,13,7,6.4,2.5,0.020436906,10.29165,67.42,22.2669,1.63
79,TP2,T,52,8_9,CMT,0,15,48.35383495,0.088323353,166.4581454,0.927124149,14.82950569,7.3,0.000965825,0.010476497,1719,1527,21.5,362.7,1390.9,53,9,4.3,2.6,0.032589354,33.19237,51.25,15.5406,1.33
80,TP2,T,53,8_9,CMT,15,60,31.15786881,0.16886931,76.01447717,0,3.594034776,7.7,0.000760107,0.007754021,1701,1550,11.7,315.8,1121.6,21,7,4.4,2.3,0.020445665,28.4806855,54.915,16.61225,1.47
81,TP2,T,54,8_9,CMT,60,100,24.02057347,0.208205128,49.86176796,0.277154032,0.998334441,7.7,0.000730299,0.007845494,1805,1905,4.2,226.1,1020.3,11,10,5.3,2,0.006679016,19.189,60.34,20.438,1.58
82,TP3,T,1,1_1,LMT,0,15,36.23742478,0.0755,316.3416066,1.550059241,6.661984627,7.3,0.001221783,0.012260974,2285,2088,20,423.6,1.9,24,10,5,2.5,0.028061737,14.7645,63.35,21.9036,1.12
83,TP3,T,2,1_1,LMT,15,60,9.132004897,0.143282102,138.5366116,0.708715697,1.630084792,7.6,0.000806248,0.008078662,1928,2178,4.4,610.9,1.2,5,8,4.8,2.6,0.014861493,13.2628,63.75,23.0305,1.39
84,TP3,T,3,1_1,LMT,60,100,8.178837789,0.134298552,86.41196934,0.94242723,0,7.9,0.000657631,0.00600137,1663,2520,4.6,226.1,1.1,6,5,5.7,2.2,0.008535303,15.7132,61.75,22.4867,1.69
85,TP3,T,7,1_3,CMT,0,15,67.95595822,0.076525822,298.3131589,3.214642286,5.496690286,7.4,0.001152997,0.012149307,2001,1895,42.6,378,1.8,47,12,4.8,2.4,0.024083408,17.7833,61.58,20.6614,1.09
86,TP3,T,8,1_3,CMT,15,60,16.76782421,0.129193791,175.3125956,0.846672718,0.811486534,7.9,0.000887268,0.008837714,2153,2197,10.7,307.1,1.4,15,10,5.8,2.5,0.024174071,14.38515,62.795,22.81995,1.6
87,TP3,T,9,1_3,CMT,60,100,7.977464007,0.1315,112.6658275,0.874707226,0,7.8,0.000759122,0.007744446,1966,2526,5.5,231.2,1.2,6,8,5.7,2.8,0.014330183,16.3324,59.7,23.9996,1.68
88,TP3,T,13,2_3,OMT,0,15,91.82247592,0.085871193,746.9834496,3.191900645,8.462453548,7.2,0.001635053,0.014386776,2547,1901,53.6,438.7,2.8,144,23,7.7,2.8,0.038144954,21.84422,59.69,18.4892,1.17
89,TP3,T,14,2_3,OMT,15,60,32.65600783,0.139360639,165.3814241,1.118968296,1.500302914,7.6,0.000892786,0.008265484,2052,1901,15.3,281.8,1.5,38,18,6.1,2.1,0.035250445,19.14403,60.395,20.44635,1.4
90,TP3,T,15,2_3,OMT,60,100,15.54028937,0.1555334,79.3797223,0.568193465,1.432852871,7.8,0.000578022,0.005103539,1748,2383,6.3,317.2,1.2,13,15,5.5,2.3,0.019720128,17.97636,60.37,21.5969,1.69
91,TP3,T,22,4_5,CMT,0,15,44.02218551,0.128422101,291.087124,0.595152678,3.785526044,7.3,0.000954239,0.009457548,1840,1699,27.2,367.9,1.8,56,8,4.8,2.2,0.035360839,30.6136,53.42,15.9993,1.08
92,TP3,T,23,4_5,CMT,15,60,12.32807918,0.136904762,107.9440549,0.854501084,0.559444828,7.4,0.000663546,0.006153994,1723,1591,9.9,251.4,1.2,17,7,4.9,1.6,0.023767009,31.018,51.855,17.1246,1.47
93,TP3,T,24,4_5,CMT,60,100,5.728581258,0.144216324,69.11064873,0.933006337,0,7.6,0.000505452,0.004240301,1829,1601,6,221.1,1,7,8,4.5,1.1,0.013246962,29.878091,51.35,18.7568,1.46
94,TP3,T,28,6_3,LMT,0,15,49.37905394,0.0805,339.1756088,2.385214152,12.52760157,7.2,0.001197285,0.012253325,1931,1779,60.4,428.6,1.8,42,8,4.8,2.2,0.030463699,20.1935,61.55,18.2439,1.22
95,TP3,T,29,6_3,LMT,15,60,13.35165342,0.129241517,111.8777679,0.787675847,1.09210487,7.7,0.000810221,0.007706448,2379,2326,11.2,291.9,1.3,14,6,7,2.3,0.021952359,16.420876,64.205,19.36655,1.44
96,TP3,T,30,6_3,LMT,60,100,11.26152973,0.131934033,61.84911609,0.937481739,0.382778385,7.9,0.000660935,0.005756358,1939,2211,6.8,231.2,1.1,7,5,6.7,1.8,0.015271257,16.0126,61.75,22.2411,1.57
97,TP3,T,31,6_4,OMT,0,15,104.7307987,0.072963518,343.6080106,5.975403096,8.578096069,7.3,0.001648766,0.015014811,2615,1897,79.9,479.2,2.6,176,22,8.2,2.3,0.036990155,24.86134,58.34,16.815,1.29
98,TP3,T,32,6_4,OMT,15,60,23.4663996,0.127912742,182.4644196,1.08717762,0.994105767,7.8,0.000983173,0.00954367,2542,2142,15.1,322.3,1.4,58,16,7.2,2.5,0.034750841,21.272864,60.1,18.61875,1.445
99,TP3,T,33,6_4,OMT,60,100,12.18751072,0.131868132,92.93193013,0.764434222,0.486944309,7.8,0.000714527,0.00665582,2159,2428,10.3,251.4,1,13,10,6,2,0.018957954,22.4505,58.29,19.2432,1.59
100,TP3,T,37,6_7,LMT,0,15,58.33937079,0.093115404,256.8529146,2.2958208,11.23499195,7.2,0.000869494,0.008650173,2007,1888,53.4,438.7,1.7,45,9,4.9,2.9,0.029371676,20.1935,61.55,18.2439,1.22
101,TP3,T,38,6_7,LMT,15,60,83.88559921,0.138223553,NA,0.400182404,0.771808972,7.7,0.001268758,0.012447154,2106,2068,10.4,286.9,1.2,10,8,6.5,2.6,0.030596924,16.420876,64.205,19.36655,1.385
102,TP3,T,39,6_7,LMT,60,100,28.76777407,0.137724551,30.5692453,0.684212569,0.943602294,7.9,0.000681154,0.006636795,1886,2379,5.8,226.1,1,5,10,5.4,2.3,0.035126067,16.0126,61.75,22.2411,1.64
103,TP3,T,40,6_8,OMT,0,15,15.9233983,0.076961519,850.07652,13.0413595,8.810852634,7.3,0.001747746,0.016030101,2535,1948,93.8,524.8,2.9,160,22,8.3,3.3,0.02419912,18.8973,62.86,18.2432,1.08
104,TP3,T,41,6_8,OMT,15,60,10.36574358,0.129241517,209.4099998,1.04349105,0.78363075,7.7,0.001004133,0.009611167,2537,2237,5.1,317.2,1.4,59,16,7.1,2.5,0.014142344,16.115825,65.16,18.72535,1.33
105,TP3,T,42,6_8,OMT,60,100,14.51771742,0.13765586,88.92743909,1.867885643,0.100962497,7.9,0.000799513,0.007823005,1899,2169,9.2,241.3,1.2,13,13,5.4,2,0.022722824,10.29165,67.42,22.2669,1.63
106,TP3,T,52,8_9,CMT,0,15,46.22068616,0.086543272,225.8286897,1.925537335,5.157753076,7.4,0.000922642,0.009475903,2084,1994,8.1,251.4,1.2,93,13,5,2.7,0.033658587,33.19237,51.25,15.5406,1.33
107,TP3,T,53,8_9,CMT,15,60,12.60948765,0.143282102,79.92362633,1.1225021,0,7.8,0.000644563,0.007035228,2003,1964,8.2,236.2,1.1,19,8,6.8,2,0.023777976,28.4806855,54.915,16.61225,1.47
108,TP3,T,54,8_9,CMT,60,100,7.693069214,0.151924038,67.59419886,0.868515764,0,7.8,0.000705767,0.007044216,1869,2357,7,231.2,1,5,7,5.7,2.4,0.01039774,19.189,60.34,20.438,1.58
109,TP3,C,4,1_2,OMT,0,15,59.38028821,0.08992467,331.07616,4.505875212,10.88685421,7.3,0.001610033,0.014380893,2291,1710,45,433.7,1.9,136,13,7.1,3.2,0.049421952,18.8758,61.59,19.5926,1.48
110,TP3,C,5,1_2,OMT,15,60,23.96595608,0.137455516,169.3514434,1.054072979,1.519684845,7.6,0.00160869,0.014368288,2133,1851,16.3,347.6,1.5,57,14,6,2.6,0.065496599,14.28805,63.58,22.0895,1.33
111,TP3,C,6,1_2,OMT,60,100,5.623507585,0.14075437,61.7218776,1.08400269,-0.407457933,7.9,0.000742227,0.007423851,1748,2335,2.3,231.2,1.1,7,11,5.5,1.9,0.086937685,15.8845,60.66,23.4567,1.66
112,TP3,C,10,1_4,CMT,0,15,41.90398095,0.111788618,218.1328957,2.450462255,3.18282969,7.4,0.001070875,0.010700487,1977,2035,29.6,342.6,1.4,72,8,5.2,2.4,0.039335724,18.6603,60.6,20.7289,1.28
113,TP3,C,11,1_4,CMT,15,60,8.301240974,0.16077322,136.5821093,1.223501584,0.669126535,7.7,0.000882301,0.008926083,1960,2137,9.7,271.7,1.2,17,10,5.1,2.8,0.074884855,17.3746,60.695,21.9578,1.455
114,TP3,C,12,1_4,CMT,60,100,0.374515975,0.161601544,37.28403045,1.10254273,0,7.9,0.000616724,0.005467961,1781,2537,5.8,205.9,1,9,10,5.1,2.4,0.746213252,19.4968,58.71,21.7523,1.61
115,TP3,C,16,2_4,LMT,0,15,45.40890063,0.085152838,247.0015532,3.140236129,9.252577419,7.2,0.001178961,0.011054034,2183,2089,48.5,388.1,1.5,25,11,5.5,2.8,0.041388026,25.6229,57.18,17.1839,1.17
116,TP3,C,17,2_4,LMT,15,60,5.307420764,0.142857143,102.9721658,1.052264804,0.655172451,7.7,0.000781803,0.007340178,1793,1883,10.4,256.5,1.1,7,11,4.8,2.2,0.094382501,19.6305,60.565,19.8103,1.16
117,TP3,C,18,2_4,LMT,60,100,4.291587962,0.150608045,95.91331094,1.14600198,1.20707995,7.8,0.000666314,0.006308668,1669,2322,6.1,195.7,1,5,7,4.8,2.5,0.086845538,16.571,61,22.4129,1.66
118,TP3,C,19,4_4,LMT,0,15,48.90934043,0.120052197,255.7337913,1.577092,8.329486,7.1,0.00107018,0.010320219,1683,1640,39.4,352.7,1.7,60,13,4.7,2.2,0.040926282,33.6335,51.88,14.4705,1.34
119,TP3,C,20,4_4,LMT,15,60,15.38367175,0.162653563,100.7895664,0.976700915,1.680269963,7.8,0.000725087,0.00663995,1607,1553,9.4,261.6,1.2,9,12,4.2,1.8,0.047127466,34.47635,51.965,13.55285,1.2
120,TP3,C,21,4_4,LMT,60,100,0,0.170307845,40.78009774,0.981114725,0.134287717,7.7,0.000511007,0.004384386,1711,1998,5,205.9,1.1,6,7,5,2.3,0,35.0289,50.58,14.4105,1.46
121,TP3,C,25,5_5,CMT,0,15,27.25962145,0.110814419,143.1699046,1.00836005,3.869260075,7.4,0.000938776,0.009002497,2084,1949,20.8,357.7,1.3,53,10,5.6,2.3,0.050550793,27.8827,54.95,17.1738,1.36
122,TP3,C,26,5_5,CMT,15,60,5.560591963,0.144977734,91.70715359,0.944719014,0.426089174,7.6,0.000786683,0.007604646,1942,1915,8.7,286.9,1.1,14,8,5,2.6,0.104820397,25.56925,56.775,17.66875,1.165
123,TP3,C,27,5_5,CMT,60,100,3.144209319,0.171912833,134.3570089,0.938665365,0.094597429,7.7,0.000668741,0.00641754,1746,1877,5.4,251.4,1,12,11,4.9,2.2,0.13931211,22.6382,59.2,18.1394,1.53
124,TP3,C,34,6_5,OMT,0,15,66.89297838,0.112506036,280.9076562,1.144012838,6.302360198,7.3,0.001492763,0.01319525,2085,1492,47.7,438.7,2.4,119,16,6.6,3.1,0.053197598,25.6053,57.81,16.5863,1.49
125,TP3,C,35,6_5,OMT,15,60,26.82452058,0.13451087,147.9072292,1.044984417,3.7341134,7.5,0.001050549,0.009930818,1931,1581,16.7,332.4,1.5,55,17,5.3,2.5,0.057654576,23.48735,59.14,17.357952,1.47
126,TP3,C,36,6_5,OMT,60,100,9.551274152,0.144693003,72.0564047,1.041733101,0.548056687,7.8,0.0007693,0.007156684,1825,1996,6.7,226.1,1.2,15,15,5.3,2,0.073435755,20.0916,60.49,19.427,1.7
127,TP3,C,43,6_9,LMT,0,15,76.04346992,0.070410729,249.7751293,4.497813549,18.1988932,7.4,0.001379547,0.013149234,1950,1801,42,428.6,2.2,50,12,5,2.7,0.032548522,24.1271,58.31,17.5973,1.2
128,TP3,C,44,6_9,LMT,15,60,12.21682498,0.143176734,139.3566386,1.01959036,1.032072646,7.6,0.000923021,0.009438565,1742,1708,5,327.4,1.4,12,11,4.4,2.5,0.071932065,17.7772,63.305,18.8976,1.3
129,TP3,C,45,6_9,LMT,60,100,3.617471115,0.173423423,50.73407367,0.809695492,0.095304259,8.1,0.00074991,0.007443848,1694,2039,4.6,231.2,1.1,6,12,5,1.9,0.125616476,12.2265,65.47,22.3144,1.67
130,TP3,C,46,7_8,CMT,0,15,26.73714562,0.091823899,133.541901,2.551590012,5.033265668,7.4,0.001023318,0.010399656,1834,1714,18.6,433.7,1.5,39,10,4.6,3,0.049799353,20.3971,61.14,18.4541,1.19
131,TP3,C,47,7_8,CMT,15,60,6.3532074,0.146052031,83.41145785,1.04224801,0.736628607,7.6,0.000836407,0.008438214,1710,1722,7.9,297,1.3,12,9,4.8,2.6,0.096028252,17.28325,63.645,19.11085,1.365
132,TP3,C,48,7_8,CMT,60,100,4.935585315,0.155013799,43.1469002,0.859015203,0,7.9,0.000720059,0.007099294,1786,2247,4.8,226.1,1.1,8,9,4.8,2.6,0.067415664,15.0957,63.56,21.3283,1.65
133,TP3,C,49,8_8,OMT,0,15,45.13554785,0.115123346,343.6086433,1.087939141,5.027030773,7.5,0.001498552,0.01318705,2242,1543,33.2,489.4,2.4,132,15,7.6,2.4,0.057211976,31.495,53.64,14.8571,1.17
134,TP3,C,50,8_8,OMT,15,60,16.68513156,0.14691358,149.739859,1.049343842,1.260583498,7.6,0.000934998,0.009114473,2221,1693,13.1,347.6,1.6,55,13,6.2,2.3,0.078429684,25.73745,57.685,16.6129,1.355
135,TP3,C,51,8_8,OMT,60,100,10.90661846,0.152466368,134.6645495,0.955124439,0.988937905,7.7,0.000791557,0.007693228,2038,1950,8.2,256.5,1.3,19,15,5.5,2,0.082672783,24.4279,56.12,19.4643,1.58
136,TP4,T,1,1_1,LMT,0,15,22.17244095,0.210575573,362.5393999,3.806311817,2.823693687,7,0.001104975,0.01105959,2312,2402,43.6,433.7,1789.7,61,6,6.7,2.6,0.033515732,14.7645,63.35,21.9036,1.12
137,TP4,T,2,1_1,LMT,15,60,14.05270318,0.185328185,112.5456257,1.732176786,0.610748543,7.5,0.000730377,0.007311455,2198,2550,10.9,281.8,1188.7,9,3,6.5,2.7,0.032845745,13.2628,63.75,23.0305,1.39
138,TP4,T,3,1_1,LMT,60,100,10.24190315,0.168867925,39.86291584,1.886285314,0.397277615,7.8,0.000522618,0.004870188,1707,2807,3.9,210.9,1088.6,3,5,6.3,2.7,0.022002005,15.7132,61.75,22.4867,1.69
139,TP4,C,4,1_2,OMT,0,15,41.19482288,0.212475634,490.4091438,9.90442959,3.02695681,7,0.001543357,0.01393445,2519,1936,70.7,555.2,2526.5,205,11,9.2,3.1,0.047053431,18.8758,61.59,19.5926,1.48
140,TP4,C,5,1_2,OMT,15,60,25.30231543,0.278174037,118.6316826,1.610820172,0.766001663,7.5,0.000840208,0.008374845,2460,2427,10.2,297,1387.3,57,5,7.7,2.6,0.044068641,14.28805,63.58,22.0895,1.33
141,TP4,C,6,1_2,OMT,60,100,10.01212128,0.14223301,51.67959702,1.36709733,0.137795004,8,0.000515666,0.0052167,1756,2713,3.9,205.9,1115,3,8,6.3,2.5,0.035126176,15.8845,60.66,23.4567,1.66
142,TP4,T,7,1_3,CMT,0,15,21.25778854,0.181191531,220.113563,1.191308315,2.012213369,7.7,0.000869158,0.008948328,2317,2161,18,393.2,1302.3,64,4,6.2,2.1,0.044452094,17.7833,61.58,20.6614,1.09
143,TP4,T,8,1_3,CMT,15,60,12.04165205,0.185461323,70.49657366,1.153958602,0.848295559,7.6,0.000675754,0.006770732,2194,2426,5.7,276.7,1148.3,13,3,6.8,2.3,0.035323081,14.38515,62.795,22.81995,1.6
144,TP4,T,9,1_3,CMT,60,100,9.49617878,0.170811825,41.96649622,1.52869388,1.485560151,7.8,0.000698698,0.007888255,1907,2680,4.3,221.1,1020.3,4,6,6.3,2.5,0.022387403,16.3324,59.7,23.9996,1.68
145,TP4,C,10,1_4,CMT,0,15,17.00415375,0.193609023,186.1160217,1.182584485,1.128367525,7.4,0.000835253,0.008569967,2239,2326,10.6,362.8,1470.5,51,5,7,2.7,0.03731365,18.6603,60.6,20.7289,1.28
146,TP4,C,11,1_4,CMT,15,60,10.52055664,0.191988276,77.56709595,0.881167117,0.621416472,7.5,0.000628319,0.005999658,2015,2398,7.2,241.3,1226.2,10,3,6.1,2.5,0.030113687,17.3746,60.695,21.9578,1.455
147,TP4,C,12,1_4,CMT,60,100,7.624810046,0.168067227,28.35328373,1.051897141,0.806329797,7.8,0.000466244,0.004243401,1823,2676,3.6,236.2,1059.1,5,4,5.6,2.5,0.024228211,19.4968,58.71,21.7523,1.61
148,TP4,T,13,2_3,OMT,0,15,33.34372672,0.199809705,412.1586415,2.271334981,2.579796044,7,0.001453648,0.012586113,2739,1836,56.1,519.7,2418.8,199,12,10.2,2.8,0.040348231,21.84422,59.69,18.4892,1.17
149,TP4,T,14,2_3,OMT,15,60,26.88127583,0.183929401,104.7625301,1.697258742,0.316293408,7.4,0.000840347,0.007518853,2686,2346,15.7,302.1,1351.6,83,11,8.2,2.8,0.045723487,19.14403,60.395,20.44635,1.4
150,TP4,T,15,2_3,OMT,60,100,12.62743208,0.166908563,31.08010918,1.763921275,0.339534536,7.7,0.000445359,0.004326177,2192,3204,4,180.6,912.9,4,28,7,2.6,0.028452737,17.97636,60.37,21.5969,1.69
151,TP4,C,16,2_4,LMT,0,15,21.17028358,0.199017199,275.4803524,2.004038702,1.492247191,7.2,0.000946387,0.009495032,2109,2197,25,388.1,1657.6,28,4,6.1,2.8,0.033311383,25.6229,57.18,17.1839,1.17
152,TP4,C,17,2_4,LMT,15,60,12.8447981,0.184493227,67.82271647,2.242296547,0.149692103,7.9,0.000559895,0.00538318,2282,2662,6,241.3,1039.7,7,2,7,2.5,0.030463326,19.6305,60.565,19.8103,1.16
153,TP4,C,18,2_4,LMT,60,100,8.163094439,0.168405365,34.10709168,1.503290775,0.402139903,8,0.000476943,0.004623749,1983,2941,2.6,180.6,966.1,3,5,6.3,2.3,0.04038047,16.571,61,22.4129,1.66
154,TP4,C,19,4_4,LMT,0,15,28.81516329,0.196336308,409.7088614,1.192858911,1.785482673,7.2,0.001010803,0.009768047,2153,2094,42.8,433.7,1995.1,37,6,5.8,2.5,0.035245351,33.6335,51.88,14.4705,1.34
155,TP4,C,20,4_4,LMT,15,60,16.6189752,0.184007707,89.92833457,1.239102971,0.543004806,7.6,0.000588393,0.005578225,2222,2077,10.4,261.6,1094.5,7,4,7,2.5,0.034929673,34.47635,51.965,13.55285,1.2
156,TP4,C,21,4_4,LMT,60,100,10.50471947,0.207086977,22.72770451,0.333831276,0.208657913,7.9,0.000397823,0.003605159,1945,1939,2.6,195.7,936.3,5,2,5.8,1.6,0.026221861,35.0289,50.58,14.4105,1.46
157,TP4,T,22,4_5,CMT,0,15,23.49789665,0.185131894,183.9610581,1.292303456,1.912120795,7.4,0.000793649,0.007696759,2055,1576,21.3,383.1,1464.2,58,10,5.4,2.5,0.040547288,30.6136,53.42,15.9993,1.08
