,plot,mgmttype,year,cash_crop_planted,tom_C_kgha,corn_C_kgha,wcc_c_kgha,wcc_n_kgha,wheat_c_content_kg_ha,sudangrass_c_kg_ha,compost_applied_tons,Total C_compost,Total K_compost,Total N_compost,Total P_compost,Total S_compost,compost_c_kg_ha,compost_n_kg_ha,compost_phosphorus_kg_ha,compost_s_kg_ha,compost_k_kg_ha,fert_N_kg_ha,fert_P_kg_ha,fert_S_kg_ha,fert_K_kg_ha
36,8_9,CMT,1995,Maize,0,6355.600394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.8356926,0,64.8232389,0
37,1_1,LMT,1996,Tomato,4577,0,1124.483,103.015,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
38,1_2,OMT,1996,Maize,0,4497.224409,1975.54,163.69,0,0,8.8,22.04,1.8821,1.965,1.34,4788.33,4347.821984,387.634764,264.341264,94.45919438,371.2811142,0,0,0,0
39,1_3,CMT,1996,Tomato,2355.5538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
40,1_4,CMT,1996,Maize,0,3826.696194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.4636846,0,64.8232389,0
41,2_3,OMT,1996,Tomato,2061.9872,0,801.67,78.24,0,0,3,22.04,1.8821,1.965,1.34,4788.33,1482.21204,132.148215,90.11634,32.20199808,126.5731071,0,0,0,0
42,2_4,LMT,1996,Maize,0,3789.480315,1410.05,125.96,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
43,4_4,LMT,1996,Maize,0,4376.325459,1741.01,157.62,0,0,0,0,0,0,0,0,0,0,0,0,0,158.3567143,64.16305825,167.6414994,46.2350625
44,4_5,CMT,1996,Tomato,3242.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
45,5_5,CMT,1996,Maize,0,4023.681102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.4636846,0,64.8232389,0
46,6_3,LMT,1996,Tomato,3328.7914,0,1124.483,103.015,0,0,0,0,0,0,0,0,0,0,0,0,0,159.3422777,46.2350625,148.4487366,46.2350625
47,6_4,OMT,1996,Tomato,3044.9352,0,1100.09,100.22,0,0,3,22.04,1.8821,1.965,1.34,4788.33,1482.21204,132.148215,90.11634,32.20199808,126.5731071,0,0,0,0
