sample_id,timepoint,crop,plot,mgmttype,depth_upper,depth_lower,depth_code,mic_c,total_biomass,011: 12:0,019: 14:0 iso,026: 14:0,028: 15:1 iso w6c,029: 15:4 w3c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,041: 15:0,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,052: 16:1 w5c,054: 16:1 w3c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,067: 17:0 cyclo w7c,071: 17:0,072: 17:1 w7c 10-methyl,074: 17:0 10-methyl,075: 18:3 w6c,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:1 w7c 10-methyl,087: 17:0 iso 3OH,088: 18:0 10-methyl,090: 19:3 w6c,095: 19:1 w8c,099: 19:0 cyclo w7c,102: 20:4 w6c,103: 20:5 w3c,104: 20:3 w6c,106: 20:2 w6c,107: 20:1 w9c,112:20:00,113: 20:0 10-methyl,121: 21:1 w3c,123: 22:5 w6c,124: 22:6 w3c,135:22:00,142:23:00,149:24:00,Grampos_Gramneg
166,TP4,T,6_4,OMT,0,15,15,304.2312032,104.05,0.46,0.71,0.84,1.05,0.25,0.25,7.18,4.05,0.65,2.39,,2.03,10.66,3.91,,13.95,,9.2,0.94,0.53,1.74,1.76,1.13,2.72,0.66,0.93,0.44,,0.85,4.27,7.73,10.39,1.4,0.63,,1.62,0.23,,3.45,1.31,0.92,,0.49,0.29,0.52,0.38,,0.26,0.17,0.33,,0.39,1.081
167,TP4,T,6_4,OMT,15,60,45,97.66813217,31.16,,,0.26,,,,2.76,1.55,,0.86,,0.57,2.11,0.92,,6.63,,4.42,0.66,,0.67,0.71,,0.85,,0.76,,,,0.39,1.93,1.85,0.38,,,0.68,,,1.73,,,,,,0.26,0.22,,,,,,,1.773
168,TP4,T,6_4,OMT,60,100,40,27.33824073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,TP4,C,6_5,OMT,0,15,15,329.9454658,103.17,0.57,0.81,0.91,1.35,0.27,0.31,7.23,4.01,0.6,2.36,,2.18,10.87,4.95,,14.35,,8.4,0.97,0.52,1.61,1.64,1.01,2.75,0.52,0.76,0.42,,0.83,4.49,7.74,10.13,1.47,0.66,,1.58,,,3.21,0.89,0.39,,,0.54,0.51,0.25,,0.28,0.16,0.3,,0.34,1.048
170,TP4,C,6_5,OMT,15,60,45,74.13506459,37.06,,,0.31,,,,3.03,1.62,0.24,1.04,,0.76,2.61,1.13,,7.73,,5.22,0.66,,0.75,0.8,,0.87,0.25,0.82,,,,0.61,2.29,2.26,0.49,,,0.81,,,1.82,0.26,,,,,0.31,0.2,,,,0.17,,,1.697
171,TP4,C,6_5,OMT,60,100,40,25.19045421,14.13,,,,,,,0.81,0.58,,0.49,,,0.5,,,4.9,,2.02,0.51,,0.36,0.32,,0.27,,0.95,,,,,0.59,0.41,,,,0.42,,,0.73,,,,,,,0.28,,,,,,,3.534
172,TP4,T,6_7,LMT,0,15,15,205.6814014,79.14,,0.55,0.66,0.8,0.19,,5.82,3.13,0.56,1.92,,1.51,7.94,2.91,,11.8,,6.82,0.81,0.45,1.36,1.43,0.77,2.16,0.43,0.8,0.38,0.48,0.26,3.98,5.7,7.37,1.37,0.47,,1.32,,,2.69,0.58,0.3,,,0.39,0.44,,,,,0.27,,0.33,1.087
173,TP4,T,6_7,LMT,15,60,45,76.49613845,21.09,,,,,,,1.8,1.17,,0.65,,0.4,1.35,0.56,,3.83,,3.25,0.5,,0.5,0.59,,0.57,,0.81,,,,0.22,1.19,1.16,0.31,,,0.59,,,1.26,,,,,,,0.37,,,,,,,2.03
174,TP4,T,6_7,LMT,60,100,40,33.11353515,12.17,,,,,,,0.69,0.49,,0.47,,,0.61,,,3.59,,1.75,0.36,,0.34,0.28,,0.3,,0.87,,,,,0.61,0.33,,,,0.39,,,0.71,,,,,,,0.39,,,,,,,3.097
175,TP4,T,6_8,OMT,0,15,15,365.4522764,94.19,0.34,0.72,0.76,1.13,0.26,0.27,6.78,3.92,0.53,2.24,,1.8,9.67,4.09,,12.14,,8.39,0.81,0.51,1.56,1.7,0.9,2.49,0.5,0.89,0.42,,0.73,4.11,7.06,9.4,1.46,0.58,,1.53,,,3.29,0.85,0.35,,,0.67,0.5,,,0.18,,0.28,,0.39,1.084
176,TP4,T,6_8,OMT,15,60,45,62.28772837,32.4,,,0.29,,,,2.75,1.7,0.23,0.9,,0.71,2.45,0.96,,5.56,,4.71,0.59,,0.74,0.82,0.27,0.92,0.22,0.8,,,,0.63,1.97,2.12,0.43,,,0.76,,,1.61,0.25,,,,,,,,,,,,,1.62
177,TP4,T,6_8,OMT,60,100,40,37.022858,14.28,,,,,,,1,0.75,,0.55,,,0.93,0.23,,3.63,,2.53,0.37,,0.38,0.37,,0.28,,0.85,,,,,0.7,0.48,,,,0.42,,,0.8,,,,,,,,,,,,,,2.903
178,TP4,C,6_9,LMT,0,15,15,337.9131254,90.74,0.38,0.73,0.78,1.01,0.22,0.23,6.15,3.55,0.59,2.08,,1.87,9.98,3.84,,12.14,,7.22,0.78,0.49,1.33,1.48,0.89,2.38,0.47,0.79,0.43,,0.88,4.47,6.44,9.6,1.5,0.55,,1.47,,,2.97,0.86,0.32,,,0.64,0.48,,,0.16,,0.29,,0.32,0.978
179,TP4,C,6_9,LMT,15,60,45,82.68432553,33.51,,,0.24,,,,2.44,1.52,,0.83,,0.52,3.05,0.73,,6.98,,4.08,0.51,,0.61,0.69,,0.69,,0.81,,,,1.84,1.69,2.76,0.53,,,0.67,,,1.41,,,,,,0.2,0.71,,,,,,,1.436
180,TP4,C,6_9,LMT,60,100,40,40.01198764,12.66,,,,,,,0.79,0.53,,0.54,,,0.8,0.2,,3.1,,2.02,0.34,,0.33,0.28,,0.24,,0.77,,,,0.19,0.56,0.36,,,,0.34,,,0.69,,,,,,,0.56,,,,,,,3.108
181,TP4,C,7_8,CMT,0,15,15,198.9758176,42.52,,0.29,0.4,0.46,,,3.43,1.79,0.29,1.14,,0.78,4.11,1.51,,6.14,,4.7,0.79,,0.77,0.8,0.37,1.26,0.27,0.65,0.22,,,1.99,2.78,3.23,0.54,0.26,,0.78,,,1.67,0.27,,,,,0.23,0.44,,,,,,0.15,1.381
182,TP4,C,7_8,CMT,15,60,45,31.70474072,17.73,,,,,,,1.56,1.09,,0.58,,0.31,1.04,0.42,,3.52,,2.87,0.49,,0.44,0.47,,0.46,,0.77,,,,,0.89,0.89,0.22,,,0.52,,,0.95,,,,,,,0.22,,,,,,,2.329
183,TP4,C,7_8,CMT,60,100,40,21.00177281,10.42,,,,,,,0.64,0.43,,0.41,,,0.79,,,2.62,,1.87,0.33,,0.28,0.24,,,,0.82,,,,,0.58,0.45,,,,,,,0.57,,,,,,,0.38,,,,,,,2.989
184,TP4,C,8_8,OMT,0,15,15,481.7932742,96.97,0.35,0.77,0.79,1.18,0.29,0.28,7.61,4.03,0.56,2.42,,1.92,9.66,4.33,,11.93,,9.21,0.84,0.56,1.63,1.77,0.86,2.53,0.51,0.9,0.46,,0.74,3.72,7.02,9.64,1.52,0.64,,1.28,,,3.71,0.93,0.31,,,0.67,0.39,0.26,,0.2,,0.22,,0.35,1.133
185,TP4,C,8_8,OMT,15,60,45,9.152699879,24.16,,,,,,,1.87,1.42,,0.79,,0.43,1.55,0.67,,4.75,,3.49,0.45,,0.55,0.6,,0.6,,0.79,,,,0.75,1.31,1.64,0.29,,,0.58,,,1.35,,,,,,,0.26,,,,,,,1.839
186,TP4,C,8_8,OMT,60,100,40,0.172327709,11,,,,,,,0.71,0.51,,0.44,,,0.64,,,2.86,,1.83,0.35,,0.32,0.27,,,,0.91,,,,,0.5,0.41,,,,0.3,,,0.58,,,,,,,0.38,,,,,,,3.693
187,TP4,T,8_9,CMT,0,15,15,156.3517528,56.29,,0.38,0.48,0.57,,,4.41,2.3,0.33,1.25,,1.18,5.61,2.52,,7.58,,5.56,0.6,0.26,0.91,0.95,0.5,1.64,0.25,0.61,0.27,,0.3,3.8,3.94,4.71,0.65,0.38,,0.83,,,2.07,0.47,,,,,0.27,0.36,,,,0.18,,0.19,1.219
188,TP4,T,8_9,CMT,15,60,45,48.89749744,18.08,,,,,,,1.71,1.04,,0.59,,0.35,1.23,0.48,,3.39,,3,0.46,,0.45,0.46,,0.45,,0.66,,,,,1.09,0.95,0.26,,,0.46,,,1.05,,,,,,,,,,,,,,2.057
189,TP4,T,8_9,CMT,60,100,40,33.434738,11.49,,,,,,,0.85,0.61,,0.5,,,0.91,,,2.63,,1.88,0.42,,0.36,0.31,,,,0.98,,,,,0.68,0.37,,,,0.32,,,0.66,,,,,,,,,,,,,,3.196
