sample_id,timepoint,crop,plot,mgmttype,depth_upper,depth_lower,depth_code,mic_c,total_biomass,011: 12:0,019: 14:0 iso,026: 14:0,028: 15:1 iso w6c,029: 15:4 w3c,030: 15:1 anteiso w9c,031: 15:0 iso,033: 15:0 anteiso,041: 15:0,045: 16:0 iso,047: 16:0 anteiso,048: 16:1 w9c,050: 16:1 w7c,052: 16:1 w5c,054: 16:1 w3c,055: 16:0,056: 17:1 iso w10c,057: 16:0 10-methyl,058: 17:1 iso w9c,059: 17:1 anteiso w9c,061: 17:0 iso,062: 17:0 anteiso,064: 17:1 w8c,067: 17:0 cyclo w7c,071: 17:0,072: 17:1 w7c 10-methyl,074: 17:0 10-methyl,075: 18:3 w6c,076: 18:0 iso,078: 18:2 w6c,079: 18:1 w9c,081: 18:1 w7c,083: 18:1 w5c,086: 18:1 w7c 10-methyl,087: 17:0 iso 3OH,088: 18:0 10-methyl,090: 19:3 w6c,095: 19:1 w8c,099: 19:0 cyclo w7c,102: 20:4 w6c,103: 20:5 w3c,104: 20:3 w6c,106: 20:2 w6c,107: 20:1 w9c,112:20:00,113: 20:0 10-methyl,121: 21:1 w3c,123: 22:5 w6c,124: 22:6 w3c,135:22:00,142:23:00,149:24:00,Grampos_Gramneg
103,TP3,T,6_8,OMT,0,15,15,850.07652,84.88,,0.68,0.78,0.57,0.15,0.16,6.76,3.74,0.59,2.76,0.14,1.06,5.61,2.51,0.27,14.45,,6.56,0.78,0.27,1.7,1.86,0.79,2.35,0.67,0.92,0.5,,0.39,4.07,7.97,6.01,1,0.66,,1.78,,,3.64,0.33,,,,0.39,0.53,0.34,0.18,,,0.32,0.17,0.49,1.436
104,TP3,T,6_8,OMT,15,60,45,209.4099998,33.99,,0.25,0.3,,,,3.31,2,0.24,1.31,,0.55,2.15,1.02,,5.08,,4.3,0.63,,0.91,0.96,0.25,1.05,0.19,0.74,0.21,,,0.51,2.38,2.08,0.46,0.22,,0.87,,,2.04,,,,,,,,,,,,,,1.831
105,TP3,T,6_8,OMT,60,100,40,88.92743909,19.19,,,0.2,,,,1.5,1.15,,0.87,,0.31,1.07,0.45,,3.06,,2.65,0.46,,0.53,0.56,,0.51,,1,,,,0.36,1.42,1.03,0.22,,,0.57,,,1.02,,,,,,,0.26,,,,,,,2.299
127,TP3,C,6_9,LMT,0,15,15,249.7751293,79.09,0.25,0.7,0.82,0.58,0.16,0.15,7.12,3.59,0.6,2.9,0.16,1.03,5.57,2.93,,10.97,,6.05,0.99,,1.82,1.85,0.74,2.43,0.65,0.81,0.53,,0.47,1.74,6.05,6.1,1.61,0.85,,1.83,,0.19,4.21,0.54,,,,0.69,0.41,0.25,0.16,,,0.25,,0.33,1.348
128,TP3,C,6_9,LMT,15,60,45,139.3566386,30.73,,,0.28,,,,2.59,1.51,0.26,0.91,,0.38,1.73,0.77,,7.51,,3.66,0.58,,0.7,0.73,,0.85,0.23,0.67,,,,0.8,1.76,1.74,0.41,,,0.73,,,1.66,,,,,,0.28,,,,,,,,1.784
129,TP3,C,6_9,LMT,60,100,40,50.73407367,13.65,,,,,,,1.07,0.77,,0.53,,,0.57,0.24,,3.34,,2.51,0.45,,0.41,0.37,,0.32,,0.82,,,,,0.65,0.43,,,,0.43,,,0.74,,,,,,,,,,,,,,3.577
130,TP3,C,7_8,CMT,0,15,15,133.541901,35.65,,,0.33,,,,3.14,1.66,0.26,1.16,,0.48,2.25,0.96,,8.4,,3.74,0.67,,0.81,0.78,0.34,0.94,0.25,0.54,0.21,,,0.41,2.37,1.98,0.53,0.24,,0.79,,,1.67,,,,,,0.34,,,,,0.2,,0.19,1.68
131,TP3,C,7_8,CMT,15,60,45,83.41145785,19.76,,,,,,,1.78,1.1,,0.64,,,1.13,0.49,,5.07,,2.83,0.51,,0.53,0.49,,0.5,,0.62,,,,,1.15,1,0.29,,,0.54,,,1.09,,,,,,,,,,,,,,2.25
132,TP3,C,7_8,CMT,60,100,40,43.1469002,13.81,,,,,,,1,0.71,,0.51,,,0.7,0.26,,3.71,,1.96,0.49,,0.38,0.32,,0.32,,0.89,,,,,0.73,0.69,,,,0.38,,,0.75,,,,,,,,,,,,,,2.716
133,TP3,C,8_8,OMT,0,15,15,343.6086433,67.74,,0.53,0.58,0.6,,,6.46,3.28,0.44,2.05,,1.04,4.7,2.61,,10.13,,7.17,0.65,0.27,1.57,1.57,0.55,1.92,0.41,0.81,0.37,,,1.24,5.02,5.28,1.31,0.64,,1.49,,,3.39,0.24,,,,0.3,0.38,0.26,,,,0.22,,0.25,1.5
